date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:08%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/diabetes/prevention-type-2/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/diabetes/prevention-type-2/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:08%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/fungal/about/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/fungal/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:09%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/hand-foot-mouth/about/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/hand-foot-mouth/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:10%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/clean-hands/data-research/facts-stats/	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/clean-hands/data-research/facts-stats/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:10%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/healthy-weight-growth/about/tips-for-balancing-food-activity.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/healthy-weight-growth/about/tips-for-balancing-food-activity.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:10%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/high-blood-pressure/about/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/high-blood-pressure/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:11%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/hiv/testing/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/hiv/testing/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:11%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/lyme/about/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/lyme/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:12%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/overdose-prevention/prevention/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/overdose-prevention/prevention/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:12%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/dengue/prevention/	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/dengue/prevention/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
